lat;long;order;dialect
8.5967223;56.6286045;296;NV
8.5959498;56.6322397;297;NV
8.5960469;56.6349568;298;NV
8.5959611;56.6354761;299;NV
8.5958323;56.6357829;300;NV
8.5959182;56.6360189;301;NV
8.5940728;56.6360425;302;NV
8.5935578;56.6363729;303;NV
8.5924426;56.637793;304;NV
8.5934725;56.6386426;305;NV
8.5979357;56.6388314;306;NV
8.6023989;56.6379818;307;NV
8.6061755;56.6370377;308;NV
8.6106387;56.6359049;309;NV
8.6128703;56.6345832;310;NV
8.6149302;56.6326949;311;NV
8.6202517;56.6311843;312;NV
8.6279765;56.6277851;313;NV
8.6303797;56.6246688;314;NV
8.6348429;56.6218357;315;NV
8.6324397;56.6249521;316;NV
8.6307231;56.6288237;317;NV
8.6324397;56.6324117;318;NV
8.6350146;56.6365657;319;NV
8.6359259;56.6406459;320;NV
8.6340376;56.6426281;321;NV
8.6304327;56.6438552;322;NV
8.6290594;56.6450822;323;NV
8.6288878;56.646781;324;NV
8.6299178;56.6478192;325;NV
8.6358096;56.6515078;326;NV
8.6367538;56.6522627;327;NV
8.6379554;56.6536782;328;NV
8.6388137;56.6546218;329;NV
8.640187;56.6559428;330;NV
8.6406162;56.6573581;331;NV
8.6413886;56.6586319;332;NV
8.6419895;56.6596697;333;NV
8.641732;56.6604716;334;NV
8.6414745;56.6615094;335;NV
8.6404445;56.660849;336;NV
8.6376121;56.6596225;337;NV
8.6353805;56.6589149;338;NV
8.6316898;56.6587262;339;NV
8.6297157;56.6589149;340;NV
8.6271407;56.6590564;341;NV
8.62345;56.6593866;342;NV
8.6213043;56.6599527;343;NV
8.6202743;56.6609434;344;NV
8.6192443;56.662217;345;NV
8.6166694;56.6625943;346;NV
8.6134937;56.6631604;347;NV
8.6107471;56.6630189;348;NV
8.607228;56.6617453;349;NV
8.6032798;56.6610849;350;NV
8.6007049;56.6612264;351;NV
8.5974433;56.6621698;352;NV
8.5954692;56.6628774;353;NV
8.5916068;56.6622641;354;NV
8.5845687;56.6613207;355;NV
8.575814;56.6615566;356;NV
8.5756423;56.6625472;357;NV
8.5756423;56.6648584;358;NV
8.5770156;56.6665092;359;NV
8.5797622;56.6723572;360;NV
8.5843971;56.6782043;361;NV
8.5898902;56.6801846;362;NV
8.5881736;56.6826362;363;NV
8.585427;56.6848991;364;NV
8.5835388;56.6869732;365;NV
8.5831954;56.6892359;366;NV
8.5830238;56.6911213;367;NV
8.5794189;56.691027;368;NV
8.5794189;56.6898958;369;NV
8.5794189;56.6880103;370;NV
8.576329;56.6857476;371;NV
8.5723808;56.6849933;372;NV
8.5648277;56.686879;373;NV
8.5613944;56.6878217;374;NV
8.5598839;56.6996577;375;NV
8.5616864;56.7010714;376;NV
8.5642613;56.7018253;377;NV
8.5719002;56.7042755;378;NV
8.5751618;56.7045582;379;NV
8.5777367;56.704888;380;NV
8.57911;56.7042755;381;NV
8.5834015;56.7058304;382;NV
8.5862339;56.7068669;383;NV
8.5884655;56.7080919;384;NV
8.590268;56.7084688;385;NV
8.590268;56.7088928;386;NV
8.5891522;56.7094581;387;NV
8.5889805;56.7101648;388;NV
8.5885514;56.7112483;389;NV
8.587693;56.7130855;390;NV
8.5861481;56.7143573;391;NV
8.583659;56.7150639;392;NV
8.5821999;56.716477;393;NV
8.5811699;56.7170422;394;NV
